,宁波多多-云港云仓,,,,,,,,,,2026年6月1日,,,,,,,,2026年6月2日,,,,,,,,2026年6月3日,,,,,,,,2026年6月4日,,,,,,,,2026年6月5日,,,,,,,,2026年6月6日,,,,,,,,2026年6月7日,,,,,,,,周转预估,5月平均,4月MAX,,,,,
安如山id,名称,条码,箱规,保质期（年）, 成本 ,报价,排期,剩余库存,云仓库存,共享仓,价格,销量,送共享仓,客退破损/良品取回,到货/退货,剩余库存,云仓库存,共享仓,价格,销量,送共享仓,客退破损/良品取回,到货/退货,剩余库存,云仓库存,共享仓,价格,销量,送共享仓,客退破损/良品取回,到货/退货,剩余库存,云仓库存,共享仓,价格,销量,送共享仓,客退破损/良品取回,到货/退货,剩余库存,云仓库存,,价格,销量,送共享仓,客退破损/良品取回,到货/退货,剩余库存,云仓库存,共享仓,价格,销量,送共享仓,客退破损/良品取回,到货/退货,剩余库存,云仓库存,共享仓,价格,销量,送共享仓,客退破损/良品取回,到货/退货,剩余库存,云仓库存,共享仓,,,,,,云仓库存,云仓少货,
797504111073,清风欧院纯品柔韧抽纸100抽300张*24包/箱,6922266470950,1,3,22.0,23.8-23.6,6/19,587,587,,23.6,31,,,,556 ,556 ,,23.6,39,,,,517 ,517 ,,23.6,34,,,,483 ,483 ,,23.6,81,,,,402 ,402 ,,,40,,,,362 ,362 ,,,,,,,362 ,362 ,,,,,,,362 ,362 ,,7,44,138,23.6,13121.6,572,-15,
873320635008,清风绿色马蹄莲无芯卷纸3层10卷1000g/提 10卷/提,6922266438868,8,3,9.0,10.8-10.6,6/19,1570,1570,,10.6,51,,,,1519 ,1519 ,,10.6,19,,,,1500 ,1500 ,,10.6,20,,,,1480 ,1480 ,,10.6,35,,,,1445 ,1445 ,,,,,,,1445 ,1445 ,,,,,,,1445 ,1445 ,,,,,,,1445 ,1445 ,,14,99,329,10,15190,1566,-4,
946973445373,清风欧院100抽300张*8包/提,6922266470943,8,3,7.3,8.8-8.3,6/19,749,749,,8.3,19,,,,730 ,730 ,,8.313157895,38,,,,692 ,692 ,,8.327777778,54,,,,638 ,638 ,,8.312987013,77,,,,561 ,561 ,,,65,,,,496 ,496 ,,,,,,,496 ,496 ,,,,,,,496 ,496 ,,10,44,51,8,5840,748,-1,
946972277502,清风纯柔系列4层250抽/包*1*6悬挂式抽纸,6922266492709,1,3,15.27,18.5-18,6/3,175,175,,18,10,,,,165 ,165 ,,18,16,,,,149 ,149 ,,18,10,,,,139 ,139 ,,18,13,,,,126 ,126 ,,,18,,,,108 ,108 ,,,,,,,108 ,108 ,,,,,,,108 ,108 ,,5,18,0,18,2970,174,-1,
943211418918,苏菲超熟睡350柔棉感8片,6934660561653,72,3,,8-7.6,6/19,593,593,,,,,,,593 ,593 ,,7.3,12,,,,581 ,581 ,,,,,,,581 ,581 ,,,,,,,581 ,581 ,,,,,,,581 ,581 ,,,,,,,581 ,581 ,,,,,,,581 ,581 ,,41,14,17,7.5,4447.5,591,-2,
952290795788,苏菲超熟睡柔棉感夜用卫生巾小420mm4片/包,6934660561660,96,3,4.0,4.8-4.7,6/19,801,801,,4.833333333,42,,,,759 ,759 ,,,,,,,759 ,759 ,,,,,,,759 ,759 ,,4.8125,16,,,,743 ,743 ,,,54,,,,689 ,689 ,,,,,,,689 ,689 ,,,,,,,689 ,689 ,,20,33,0,4.74,3597.66,792,-9,
789795660321,苏菲裸感S棉柔日用卫生巾250mm13片/包,6934660560878,24 ,3,8.8-8.3,8.8-8.3,6/19,1301,1301,,8.8,39,,,,1262 ,1262 ,,8.3,74,,,,1188 ,1188 ,,8.8,53,,,,1135 ,1135 ,,8.315384615,65,,,,1070 ,1070 ,,,67,,,,1003 ,1003 ,,,,,1,,1002 ,1002 ,,,,,,,1002 ,1002 ,,15,62,100,8.3,10474.6,1280,-21,
920804432128,苏菲超熟睡420柔棉感8片,6934660561677,64,3,7.5,9.3-8.8,6/19,1482,1482,,8.8,50,,,,1432 ,1432 ,,8.8,38,,,,1394 ,1394 ,,8.8,52,,,,1342 ,1342 ,,8.8,45,,,,1297 ,1297 ,,,50,,,,1247 ,1247 ,,,,,,,1247 ,1247 ,,,,,,,1247 ,1247 ,,34,35,51,8.8,12601.6,1477,-5,
943210876452,苏菲超熟睡290柔棉感10片+4片,6934660528595,24,3,,9-8.5,6/19,902,902,,8.3,51,,,,851 ,851 ,,,,,,,851 ,851 ,,8.5,13,,,,838 ,838 ,,,,,,,838 ,838 ,,,,,,,838 ,838 ,,,,,,,838 ,838 ,,,,,,,838 ,838 ,,27,30,20,8.5,7233.5,900,-2,
902021720584,苏菲超熟睡290柔棉感10片,6934660561592,64,3,5.04,6.2-6,6/19,787,787,,6.009375,64,,,,723 ,723 ,,6.003448276,58,,,,665 ,665 ,,6.004761905,42,,,,623 ,623 ,,6.003448276,58,,,,565 ,565 ,,,86,,,,479 ,479 ,,,,,,,479 ,479 ,,,,,,,479 ,479 ,,4,89,124,6,4338,764,-23,周五运货吧
861541484505,苏菲弹力贴身小熊230 20P+柔棉感290 5+2P,6934660506470,24,,,12.6-12.3,6/19,945,945,,12.3,23,,,,922 ,922 ,,,,,,,922 ,922 ,,12.3,19,,,,903 ,903 ,,12.3,39,,,,864 ,864 ,,,37,,,,827 ,827 ,,,,,,,827 ,827 ,,,,,,,827 ,827 ,,17,45,,12.3,11340.6,942,-3,
956252771107,苏菲超熟睡安心裤柔棉款M~L5P 超大箱 36包,6934660550909,36,,,10.2-9.7,6/19,828,828,,,,,,,828 ,828 ,,9.7,20,,,,808 ,808 ,,,,,,,808 ,808 ,,,,,,,808 ,808 ,,,,,,,808 ,808 ,,,,,,,808 ,808 ,,,,,,,808 ,808 ,,39,20,,9.7,8031.6,824,-4,
943862609534,苏菲日夜用卫生巾组合装25片230mm+420mm25片/袋,6934660550237,24,填27年12月,10.1,12.5-12.2,6/3,205,205,,12.2,14,,,,191 ,191 ,,12.2,24,,,,167 ,167 ,,12.2,21,,,,146 ,146 ,,12.5,14,,,,132 ,132 ,,,29,,,,103 ,103 ,,,,,,,103 ,103 ,,,,,,,103 ,103 ,,3,24,38,12.1,2311.1,195,-10,淘汰品
940365531702,六神清凉香皂（绿茶+甘草）108g*3,6901294179561,24,3,,8.2-7.8,6月19日,542,542,,8.2,32,,,,510 ,510 ,,7.82,60,,,,450 ,450 ,,7.811764706,34,,,,416 ,416 ,,8.2,19,,,,397 ,397 ,,,86,,,,311 ,311 ,,,,,,,311 ,311 ,,,,,,240,551 ,551 ,,5,50,52,7.8,3978,531,-11,下单10箱
930669388912,六神驱蚊喷雾花露水花漾清新80mL/瓶,6901294179592,48,3,11.1,12.5-11.8,6月19日,508,508,,12.5,19,,,,489 ,489 ,,11.8,82,,,,407 ,407 ,,11.8,28,,,,379 ,379 ,,12.5,21,,,,358 ,358 ,,,96,,,,262 ,262 ,,,,,,,262 ,262 ,,,,,,240,502 ,502 ,,6,40,73,11.8,5770.2,486,-22,下单5箱
930665759490,六神驱蚊喷雾花露水清新花香180mL/瓶,6901294179608,30,3,17.8,18.8-18.6,6月19日,622,622,,18.8,54,,,,568 ,568 ,,,,,,,568 ,568 ,,18.8,28,,,,540 ,540 ,,18.8,38,,,,502 ,502 ,,,,,,,502 ,502 ,,,,,,,502 ,502 ,,,,,,240,742 ,742 ,,7,60,83,18.6,10564.8,617,-5,下单8箱
736375548426,六神清凉沐浴露香型随机1500g/瓶,1954/2173,8,4,28.6,29.8-29.5,6月19日,516,516,,29.8,58,,,,458 ,458 ,,29.5,33,,,,425 ,425 ,,29.5,36,,,,389 ,389 ,,29.8,84,,,,305 ,305 ,,,41,,,,264 ,264 ,,,,,,,264 ,264 ,,,,,,240,504 ,504 ,,5,45,91,29.5,13511,508,-8,下单30箱
916987341567,六神清凉爽肤沐浴露（绿茶+甘草）650g/瓶,6901294721128,8,4,16.4,17-16.7,6月19日,358,358,,17,26,,,,332 ,332 ,,16.7,45,,,,287 ,287 ,,16.7,35,,,560,812 ,812 ,,17,28,,,,784 ,784 ,,,47,,,,737 ,737 ,,,,,,,737 ,737 ,,,,,,,737 ,737 ,,11,60,37,16.7,5544.4,348,-10,
916987542500,美加净保湿香氛沐浴露活力柑橘木香850g/瓶,6901294098336,,3,13.9,14.5-14,6月19日,195,195,,14.5,15,,,,180 ,180 ,,14,5,,,,175 ,175 ,,,,,,,175 ,175 ,,14.5,14,,,,161 ,161 ,,,,,,,161 ,161 ,,,,,,,161 ,161 ,,,,,,,161 ,161 ,,20,8,2,14,2520,195,0,
872958167028,家安酵素净护洗衣皂-超凡净透190g*2,6901294403031,18,3,,4.5,6月19日,254,254,,,,,,,254 ,254 ,,,,,,,254 ,254 ,,,,,,,254 ,254 ,,,,,,,254 ,254 ,,,,,,,254 ,254 ,,,,,,,254 ,254 ,,,,,,,254 ,254 ,,37,7,21,4.5,1143,252,-2,
925932629275,六神清凉沐浴露1L/瓶,1954,8,4,28.6,26.5,6月10日,158,158,,,,,,,158 ,158 ,,,,,,,158 ,158 ,,,,,,,158 ,158 ,,,,,,,158 ,158 ,,,,,,,158 ,158 ,,,,,,,158 ,158 ,,,,,,,158 ,158 ,,17,9,0,26.5,4187,158,0,
789838002697,六神祛痱舒缓粉150g/盒,6901294179639,36,3,7.2,7.8-7.6,6月19日,535,3,532 ,7.8,43,,,,492,3 ,489 ,7.6,79,,,,413,3 ,410 ,7.6,52,,,900,1261,903 ,358 ,7.8,35,,,,1226,903 ,323 ,,106,,,,1120,903 ,217 ,,,,,,1120,903 ,217 ,,,,,,1120,903 ,217 ,10,100,23,7.36,3621.12,0,-3,
928635146526,六神经典原香花露水95mL/瓶,6901294177024,40,,,8-7.8,6月19日,1594,933,661 ,8,131,,,,1463,933 ,530 ,7.808974359,156,,,,1307,933 ,374 ,8,61,,,1600,2846,2533 ,313 ,8,150,400,,,2696,2133 ,563 ,,192,,,,2504,2133 ,371 ,,,,,,2504,2133 ,371 ,,,,,,2504,2133 ,371 ,12,200,120,7.8,11411.4,886,-47,
928636362770,六神经典原香花露水195mL/瓶,6901294177017,30,,,14.2-13.8,6月19日,4046,3060,986 ,13.66,523,,,,3523,3060 ,463 ,14.2,123,,,,3400,3060 ,340 ,13.8,169,,,,3231,3060 ,171 ,13.66,347,1500,2,,2882,1560 ,1324 ,,191,,,,2691,1560 ,1133 ,,,,,,2691,1560 ,1133 ,,,,,,2691,1560 ,1133 ,13,192,975,13.8,48617.4,3013,-47,65共享仓多28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
